names,scores,logfoldchanges,pvals,pvals_adj
RPS14,20.674356,0.4396475,5.894782882103815e-95,3.972376288592118e-91
TPT1,19.296883,0.4885449,5.704971410892063e-83,3.2037217786432863e-79
HLA-DQA2,17.470472,4.6637,2.404955007933885e-68,1.012906925466554e-64
MT-CO3,17.358404,0.51430285,1.703961393349969e-67,6.379252798614873e-64
RPS24,15.337392,0.37414932,4.301332598240935e-53,9.05806878532063e-50
S100A9,14.724771,1.5155636,4.4698651511257155e-49,8.859272729531169e-46
S100A8,13.856513,1.5742904,1.1618327653213564e-43,1.8641330092732276e-40
RPLP1,13.831195,0.3144334,1.6525357370008047e-43,2.320022463437713e-40
LYZ,13.459303,1.4148146,2.714643826364326e-41,3.658688363420784e-38
RPS8,13.399006,0.40472928,6.127873879980219e-41,7.941253173540519e-38
HLA-B,13.343308,0.2908835,1.2957852905391797e-40,1.5592924849795399e-37
RP11-1143G9.4,13.003299,1.6218178,1.1717749889310183e-38,1.3160595492347242e-35
RPL7,11.250053,0.30114236,2.314525375439677e-29,1.8136190232573132e-26
RPS4Y1,10.269252,0.8557342,9.695408426576382e-25,5.73117704429938e-22
MT-CO1,10.1587925,0.26020873,3.028026330270145e-24,1.6725626093790534e-21
DUSP6,10.032094,1.4437838,1.101550751320188e-23,5.986395324997164e-21
RPS9,9.917771,0.24283095,3.484504386930825e-23,1.834482668956988e-20
S100A12,9.688696,1.9468378,3.368029208962124e-22,1.6688584730407326e-19
OAZ1,9.329241,0.37917972,1.0663181246446974e-20,4.921715464627183e-18
VCAN,9.293955,1.4849218,1.4865944451637103e-20,6.768826112884601e-18
GAPDH,8.871595,0.48231554,7.21050822663507e-19,3.075327394787874e-16
CD3D,8.687621,2.2905436,3.7010908922937315e-18,1.467112429705235e-15
EEF1A1,8.594383,0.2006499,8.371312025539233e-18,3.2798021789362662e-15
RPS11,8.449007,0.25662774,2.93791661749596e-17,1.0420017106306196e-14
SLC25A6,8.379891,0.3102733,5.297655038379378e-17,1.8401978233314924e-14
RPS3A,8.112202,0.2374645,4.971054434227086e-16,1.642104981439681e-13
TRAC,7.9045343,1.6009313,2.6893721387991026e-15,8.713048542759324e-13
TMSB4X,7.901728,0.24555875,2.750632885324314e-15,8.826649946487374e-13
RPL13,7.8686194,0.22239989,3.585760220662775e-15,1.129145839953379e-12
RPL23,7.8329196,0.21367338,4.7666998642114735e-15,1.4734787635297375e-12
COTL1,7.545632,0.6080029,4.5010013345984567e-14,1.3073856807582792e-11
IL32,7.5157895,1.0728815,5.65684284823105e-14,1.6290740421221965e-11
RPL32,7.4373813,0.1964214,1.0270074353139451e-13,2.8363925020875464e-11
